ram_gb,weight_kg,inches,Price_in_euros
8.0,1.86,15.6,539.0
16.0,2.59,15.6,879.01
8.0,2.04,15.6,900.0
8.0,1.34,13.3,898.94
4.0,2.25,15.6,428.0
8.0,2.31,14.0,1124.0
4.0,1.32,13.3,699.0
8.0,2.2,15.6,499.0
8.0,2.7,17.3,1348.48
16.0,2.3,15.6,2445.0
8.0,1.37,13.3,1958.9
12.0,2.2,15.6,609.0
4.0,2.2,15.6,344.0
16.0,1.2,13.3,1747.0
8.0,1.88,15.6,1298.0
8.0,2.2,15.6,329.0
8.0,2.7,17.3,1409.0
8.0,1.17,14.0,1686.64
8.0,2.3,15.6,1169.0
4.0,1.05,13.3,1285.0
4.0,1.35,11.6,355.0
16.0,2.3,15.6,859.01
8.0,1.5,14.0,799.0
8.0,2.4,15.6,1229.0
8.0,3.0,17.3,2899.0
8.0,2.65,15.6,949.0
8.0,1.99,15.6,1350.0
4.0,2.37,15.6,398.99
8.0,1.4,13.3,1010.0
8.0,1.05,13.0,1349.0
8.0,2.36,15.6,557.37
8.0,2.18,15.6,836.0
4.0,1.96,15.6,500.0
4.0,1.54,14.0,1000.0
8.0,3.14,17.3,1907.99
4.0,1.86,15.6,299.0
8.0,1.9,15.6,1049.0
8.0,1.13,14.0,1875.0
8.0,2.6,15.6,1272.0
8.0,2.67,15.6,1925.0
8.0,2.2,15.6,597.0
4.0,1.2,13.3,1195.0
8.0,1.3,13.3,1268.0
8.0,2.2,15.6,709.0
4.0,1.86,15.6,485.0
4.0,1.91,15.6,439.0
16.0,1.95,14.0,2899.0
16.0,3.25,17.3,2199.0
8.0,1.64,14.0,1049.26
4.0,1.44,13.3,735.0
4.0,1.26,11.6,295.0
32.0,3.49,17.3,6099.0
6.0,2.19,15.6,764.0
8.0,1.63,14.0,1084.0
8.0,3.0,17.3,1187.0
16.0,2.43,17.3,2449.0
4.0,2.2,15.6,444.0
4.0,2.2,15.6,324.0
8.0,2.1,15.6,745.0
16.0,2.5,15.6,1799.0
4.0,2.2,15.6,393.49
8.0,1.48,14.0,1292.0
8.0,2.5,15.6,1189.0
8.0,1.43,14.0,1513.0
6.0,2.1,15.6,650.0
8.0,2.06,15.6,1763.0
8.0,1.23,13.3,1379.0
8.0,1.8,14.0,2050.38
4.0,1.45,14.0,375.0
8.0,1.95,15.6,1962.99
16.0,1.93,15.6,1426.66
8.0,2.32,15.6,589.52
8.0,1.9,14.0,1072.0
4.0,0.69,10.1,549.0
8.0,1.37,13.3,2040.0
8.0,1.27,14.0,2339.0
8.0,2.2,15.6,459.0
4.0,1.25,11.6,349.0
8.0,2.4,15.6,819.0
16.0,3.35,17.3,1379.0
8.0,1.64,14.0,1185.43
4.0,2.31,14.0,1189.0
16.0,2.56,15.6,1249.26
4.0,1.35,13.3,255.0
4.0,2.18,15.6,465.0
8.0,1.95,14.0,980.0
8.0,1.88,15.6,1579.0
8.0,2.45,15.6,699.0
4.0,1.47,11.6,479.0
8.0,1.3,12.5,1713.49
16.0,4.5,17.3,2349.0
8.0,2.0,15.6,1207.0
8.0,1.36,12.5,1584.0
8.0,2.3,15.6,1049.6
8.0,2.2,15.6,589.0
8.0,1.9,15.6,1495.0
8.0,2.1,15.6,1144.5
16.0,1.1,12.3,2199.0
16.0,1.71,15.0,1799.0
8.0,1.21,13.3,1949.0
8.0,1.7,14.0,1943.0
4.0,1.7,14.0,1096.0
2.0,1.5,14.0,229.0
4.0,1.95,14.0,1149.0
8.0,1.94,14.0,389.0
8.0,2.65,15.6,1195.0
8.0,2.18,15.6,1009.9
8.0,1.2,13.3,1399.0
4.0,1.4,14.0,249.0
16.0,1.91,15.6,2153.37
4.0,2.1,15.6,449.0
4.0,2.18,15.6,569.0
4.0,2.2,15.6,309.0
8.0,1.43,14.0,1500.0
16.0,1.14,14.0,2450.0
12.0,1.6,13.3,1299.0
8.0,1.29,13.3,1477.0
8.0,1.37,13.3,1950.0
4.0,2.18,15.6,684.99
8.0,2.2,15.6,1169.0
8.0,2.05,15.6,598.0
4.0,1.5,12.5,1135.15
4.0,2.18,15.6,547.0
4.0,2.4,15.6,999.0
8.0,2.2,15.6,429.0
8.0,1.3,13.3,999.9
4.0,2.4,15.6,289.0
8.0,2.1,14.0,389.0
8.0,1.49,13.3,1103.0
32.0,4.36,17.3,3659.4
8.0,2.6,15.6,899.0
8.0,2.62,15.6,1199.0
4.0,1.95,14.0,1060.0
12.0,2.25,15.6,649.0
16.0,2.06,15.6,2027.42
16.0,2.06,15.6,1899.0
16.0,1.95,15.6,1399.95
4.0,1.8,14.0,638.0
4.0,2.1,15.6,412.0
12.0,2.21,15.6,1327.0
8.0,1.43,14.0,2229.0
8.0,1.84,15.6,1900.0
8.0,2.17,15.6,898.9
